"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1";-2,11969671998669;0,0284821286709354;0,000164441646552581;0,000164542919539209;-2,17503796495273;-2,13901040638819;-2,11984780044816;-2,10089508538868;-2,06341191356292
"Alpha2[1]";0,763866261553779;0,0481898602676978;0,000278224287977658;0,000274087590100418;0,668870163810832;0,731447966516967;0,763739905858875;0,796379215607254;0,858300364608034
"Alpha2[2]";2,74992997473454;0,115176121857503;0,000664969649586463;0,000665014227551478;2,53132088170421;2,67074641899064;2,74781642796251;2,82606475324272;2,98302495671221
"Beta1";4,11520415583198;0,242953441350588;0,00140269234764308;0,00140267395438725;3,64421572278895;3,94949282887861;4,11395429912345;4,27762664583188;4,59855410165673
"Beta2";2,07383981336876;0,200473991365569;0,0011574371288043;0,00114079353060476;1,69062248169879;1,93827686725942;2,0694514224606;2,20530748785785;2,48052744806766
"Gamma1[1, 1]";0,490331906720544;0,0481035826154082;0,000277726163719913;0,00028072534145192;0,396706113601244;0,457459963135087;0,490058510723652;0,522679491342945;0,585192398945173
"Gamma1[2, 1]";0,493189660113076;0,0399047296089467;0,000230390063816646;0,000229245388683814;0,415613552640848;0,465954898908978;0,493201094440247;0,520702811988489;0,570930630963177
"Gamma1[3, 1]";0,622810113635344;0,0343672861491128;0,000198419619095072;0,00019926473783131;0,555154860794993;0,599733763114944;0,623155199682368;0,646178688896555;0,689253049146431
"Gamma1[4, 1]";0,664280274477387;0,04494659711096;0,000259499299411704;0,000258558641671627;0,573628784005587;0,634461553429646;0,66521631175962;0,695200592883993;0,749078091333338
"Gamma1[5, 1]";0,43702388023973;0,0520977802642906;0,000300786674597701;0,00030563735121106;0,33748116813228;0,40086832921587;0,436174371471214;0,471999623141437;0,540977306583185
"Gamma1[6, 1]";0,564707500485074;0,0303785095430796;0,000175390406622766;0,000173955577735481;0,504930968104478;0,544225713856806;0,564806801417717;0,58546642356839;0,623409202169419
"Gamma1[7, 1]";0,698833413234989;0,0393459216676959;0,000227163784663581;0,000225711752864194;0,617835838737734;0,673020586890073;0,699566488205143;0,725748640665901;0,773326863979278
"Gamma1[8, 1]";0,507515270071025;0,031420396435414;0,000181405743400311;0,000182705057864302;0,445352928366498;0,486304493294038;0,507540625703781;0,528880882850782;0,569176282192967
"Gamma1[9, 1]";0,523927317976808;0,0323056849561223;0,000186516959057724;0,000185482653784533;0,460657348455216;0,502135496236536;0,523983968879435;0,545817457057865;0,58663746321807
"Gamma1[10, 1]";0,512861213678012;0,0311269687106123;0,00017971163764129;0,000181868288224759;0,45287582768802;0,491688842529076;0,51257817664506;0,533948091722739;0,57412742726838
"Gamma1[11, 1]";0,552359973593813;0,0374857354769449;0,000216423994683852;0,000217077349751252;0,477700999092155;0,527221932709959;0,552944423912235;0,577691451706372;0,625368103712345
"Gamma1[12, 1]";0,61750855051451;0,0364154722911213;0,000210244827299462;0,000210252791963862;0,544442602703538;0,593165390885913;0,617863428442824;0,64210475538633;0,687412621621399
"Gamma1[13, 1]";0,571390668590386;0,0422077688251189;0,000243686666930759;0,000242824115977849;0,487548651101415;0,542965906769257;0,57158345725564;0,600013547977239;0,653234285853032
"Gamma1[14, 1]";0,633969898885886;0,032241668978139;0,000186147362636513;0,000190536031771035;0,570118268878771;0,61241541662843;0,634203027590424;0,655886565263619;0,69663786145232
"Gamma1[15, 1]";0,556152342278429;0,0370142304678973;0,000213701759244873;0,00021273448076993;0,483217142362499;0,531224460917951;0,556215229330143;0,581713831323172;0,627568811175859
"Gamma1[16, 1]";0,552006187320436;0,0431379728099815;0,000249057202141376;0,000250491232069276;0,467202604952084;0,522838916317752;0,552186842248887;0,581228418944953;0,636365528352028
"Gamma1[17, 1]";0,559199757923866;0,0333863887541951;0,00019275640534504;0,000191205123773172;0,493062605227592;0,536906758823822;0,559240474238923;0,581878757969982;0,624003491216382
"Gamma1[18, 1]";0,550641857361764;0,0363459190240737;0,000209843261324933;0,00020605746675675;0,479324386297388;0,526236297397128;0,550688082382214;0,575073044131095;0,622343227099756
"Gamma1[19, 1]";0,558768555130813;0,0327958720241056;0,000189347055414259;0,000189321328561321;0,494040465433988;0,536673695072226;0,55872936780227;0,581183996884563;0,622646860394608
"Gamma1[20, 1]";0,538442718036681;0,0347584989377966;0,000200678287183642;0,000198406211300161;0,470610886452888;0,514949040891769;0,538274650652381;0,561973287413502;0,606840442281459
"Gamma1[21, 1]";0,510716529162301;0,0367724064438839;0,000212305587591267;0,00021242819132465;0,439736721310013;0,48566690505634;0,510416908493603;0,535507002411969;0,583675897826863
"Gamma1[22, 1]";0,447541741652638;0,0482196262754178;0,000278396142103356;0,000276795137270545;0,354129467098846;0,414600268139075;0,446954157042693;0,480115844973192;0,543707253334501
