"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1[1]";-0,95679051826277;0,198223675105875;0,00114444492182134;0,00112596752057556;-1,32942723167254;-1,09254188643805;-0,961724645082948;-0,827683879249065;-0,551458759914541
"Alpha1[2]";-2,25892269428514;0,060435601729996;0,000348925109274502;0,000351418184957106;-2,37643712553832;-2,29975872623197;-2,25907294168753;-2,21874015583589;-2,14047273128842
"Alpha1[3]";-2,31604501836195;0,114734255593329;0,000662418533520798;0,000662434512506634;-2,54007673943044;-2,39315645093754;-2,31627663492587;-2,23967131227681;-2,08849391377836
"Alpha1[4]";-1,52972083429399;0,161157797903268;0,000930444980014592;0,00092981755576495;-1,83965023770224;-1,64020451721979;-1,53138264550131;-1,42219581749478;-1,2098262145235
"Alpha1[5]";-1,74196610470288;0,117534481670563;0,000678585646315627;0,000683046716473533;-1,9705210228206;-1,82085105104519;-1,74389047104152;-1,66339526287877;-1,5090358484205
"Alpha1[6]";-2,50302102907298;0,0902270609022442;0,000520926179000994;0,000519051163156698;-2,67867522565742;-2,56399440551027;-2,50398690768033;-2,44239739711256;-2,32418068695181
"Alpha1[7]";-0,80102862102503;0,140149146698919;0,000809151475733171;0,000812173292567889;-1,06738210935774;-0,897375564278441;-0,804124917518282;-0,709676663674911;-0,514374855213979
"Alpha1[8]";-1,60844239561594;0,0478341195446651;0,000276170417955611;0,000276177183310345;-1,70126721487698;-1,64088445477593;-1,60876559671646;-1,57648419640549;-1,51323459619606
"Alpha1[9]";-2,20724872404534;0,0561498695147309;0,000324181422792923;0,000319493210847233;-2,31619658937213;-2,24513168803864;-2,20765183705719;-2,16988437911601;-2,09693379386037
"Alpha1[10]";-1,94390449373908;0,0540710258150754;0,00031217921309693;0,000313600638897579;-2,05010947562224;-1,98037976013186;-1,94382722166106;-1,9071791252238;-1,83912892368947
"Alpha1[11]";-2,09779493596633;0,0917605449919389;0,000529779753520827;0,000534231855125516;-2,27578598989636;-2,15956641328944;-2,098376172041;-2,03636671354958;-1,91531408347245
"Alpha1[12]";-2,45235712772965;0,084373490078016;0,000487130572090108;0,000488095532381956;-2,6170154453272;-2,50950877547936;-2,45280319867248;-2,39558949975049;-2,28517348496032
"Alpha1[13]";-2,99312441984418;0,10033458984342;0,000579282024551292;0,000575410931896439;-3,18888510884644;-3,06130261802459;-2,99337996270333;-2,92526193446283;-2,79592900891985
"Alpha1[14]";-2,18714626050054;0,0672581394029133;0,000388315048894653;0,000386012805247471;-2,3199799440585;-2,23228664662191;-2,18684744752879;-2,14152906389452;-2,05686707807834
"Alpha1[15]";-2,52145995138123;0,07947730455779;0,000458862431809059;0,000466288635311807;-2,67653910383204;-2,57500260668372;-2,52197614081139;-2,468120372016;-2,36567768088132
"Alpha1[16]";-2,42538990933079;0,118966363709865;0,000686852621124014;0,000675466394539625;-2,65605679805903;-2,50614667380994;-2,42672641993971;-2,34553103800275;-2,18685182021879
"Alpha1[17]";-1,96414582851274;0,122357720095118;0,000706432626343453;0,000713116306076276;-2,19902890742926;-2,04769849666393;-1,96558392278299;-1,88157620974577;-1,72190485866846
"Alpha1[18]";-1,85508488842259;0,170589741854424;0,000984900333806405;0,000989408353199811;-2,18349995350422;-1,96952977029225;-1,85758588445583;-1,73967661867738;-1,51557465880083
"Alpha1[19]";-2,27868074698016;0,0817731856015807;0,000472117707195658;0,000474148063529096;-2,4392454942267;-2,33451609733472;-2,27925000200957;-2,2236812981493;-2,11828084169295
"Alpha1[20]";-1,68586620881797;0,104984470175563;0,000606128121165914;0,000611570215658289;-1,88767964881619;-1,75749793201316;-1,68765746355834;-1,61597462297166;-1,47780696925958
"Alpha1[21]";-1,67809109324224;0,0652043816412177;0,000376457672929001;0,000382367650336915;-1,80335907132309;-1,72282831020622;-1,67900493889272;-1,63387566273671;-1,54783455015045
"Alpha1[22]";-2,45249809247108;0,113080908960076;0,000652872932283072;0,000654039955795948;-2,67190325932749;-2,52888330713271;-2,4529847239811;-2,3761065155251;-2,22945032291708
"Alpha1[23]";-2,45915103483929;0,140736889251183;0,000812544808940812;0,000809671538422688;-2,73389762311171;-2,55469065275508;-2,46033349622864;-2,36474572390915;-2,17842998165122
"Alpha1[24]";-1,93515474158335;0,104012313564033;0,000600515372352302;0,00060044555878437;-2,13746388731419;-2,0060163140085;-1,93581886572842;-1,86591972187678;-1,730708422024
"Alpha2[1, 1]";1,28823106018895;0,267277044275297;0,0015431247346055;0,00152141190766199;0,782244860848414;1,10522165601078;1,28539824221636;1,46487862446649;1,82281907909495
"Alpha2[2, 1]";0,314288605034099;0,220614105198981;0,0012737161302366;0,00128114059559892;-0,130999764800225;0,169804687402141;0,317896032076302;0,464409173159944;0,733105876654426
"Alpha2[3, 1]";0,660629304354774;0,23901312782175;0,00137994293687742;0,00136414247465478;0,188531189267853;0,50055295464159;0,66428378441175;0,820865297225018;1,12933821244373
"Alpha2[4, 1]";0,962079826932516;0,262541106114266;0,00151578178288413;0,00150819218343959;0,454630903115147;0,787015770068634;0,958770826778853;1,1367990820774;1,48165737166728
"Alpha2[5, 1]";1,19249098833298;0,289969421048189;0,00167413923298932;0,00167000736970482;0,633914128557599;0,998173877464163;1,18764916945956;1,38335631737202;1,775599803127
"Alpha2[6, 1]";1,22437086050662;0,204386987454813;0,00118002882225893;0,00118421966065995;0,828349608931979;1,08700663938818;1,22126024176053;1,36019729198528;1,63500837500422
"Alpha2[7, 1]";0,3485946779989;0,201263074071026;0,00116199289992839;0,00116752864527448;-0,0558891687045058;0,216269539575964;0,349883338338931;0,484597227232037;0,736022792801526
