"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1[1]";-1,10418696713117;0,208189432956397;0,00120198225159811;0,00119823900100755;-1,4969664871386;-1,24677114453958;-1,10971718566664;-0,967035280552161;-0,680235297993329
"Alpha1[2]";-2,45727984579078;0,0763372690287936;0,000440733428229749;0,000448173417983701;-2,60820470497492;-2,50831229721989;-2,45688733933948;-2,405407024882;-2,30933099627382
"Alpha1[3]";-2,46016663354065;0,121756763859705;0,000702963003900583;0,000693520781037359;-2,7006977997191;-2,54197861844069;-2,46095331259929;-2,37803127800743;-2,22095376421657
"Alpha1[4]";-1,68632936902105;0,165013355293218;0,000952705050984227;0,000949402696153085;-2,00429414689874;-1,79846621404459;-1,68847446538103;-1,57542911377806;-1,35718515400566
"Alpha1[5]";-1,79105815241647;0,128836652536423;0,00074383876023394;0,000750108975150233;-2,04300473504422;-1,87797414459792;-1,79191684614085;-1,70559149674552;-1,53587211489713
"Alpha1[6]";-2,58670229075321;0,101187595958737;0,000584206857654279;0,000574571024313857;-2,78406423445931;-2,65455227673915;-2,58691250047357;-2,51866181779325;-2,38845479875394
"Alpha1[7]";-0,919000424331083;0,146996927671104;0,000848687157609597;0,000854905092661944;-1,19968582431701;-1,01932859729944;-0,922051749457458;-0,822651762733208;-0,620640607922146
"Alpha1[8]";-1,79215148264461;0,0669787493177608;0,000386701989485937;0,000379176594927267;-1,92721892568411;-1,83632467557185;-1,79087808676133;-1,74651836355553;-1,6645828710538
"Alpha1[9]";-2,31774976866326;0,0695465395058849;0,000401527133049296;0,000391018887548534;-2,45419796236141;-2,36411743003292;-2,31789942246707;-2,27065354281225;-2,18162806986116
"Alpha1[10]";-2,08694479342373;0,0729048514682734;0,000420916356204373;0,000415507035351746;-2,23188879490664;-2,1353475517464;-2,08639020732541;-2,03808528975295;-1,94503220342928
"Alpha1[11]";-2,13856193655875;0,100750270723939;0,000581681959233936;0,000579454399514401;-2,33412048509586;-2,20656035680871;-2,13958560857015;-2,07077683767693;-1,9398263310566
"Alpha1[12]";-2,59792334188367;0,0945644187327624;0,000545967926111209;0,000538013255488083;-2,78234255985483;-2,66109873406707;-2,59822378437325;-2,53417306872474;-2,41353444153089
"Alpha1[13]";-3,1233703897784;0,110565741250329;0,000638351604740282;0,000643343959180889;-3,34062491461744;-3,19731916183735;-3,12241512643849;-3,04891833999954;-2,90791033978062
"Alpha1[14]";-2,23628986274302;0,0768540444352034;0,000443717032429761;0,000446392270841875;-2,38579397264533;-2,28789551179689;-2,23609631506411;-2,18504113702809;-2,08525484977903
"Alpha1[15]";-2,50638428119456;0,0841256940490663;0,000485699921049925;0,000483919500831039;-2,67085289105608;-2,5629841055213;-2,50633197489855;-2,45034625707482;-2,33977892708259
"Alpha1[16]";-2,53699458938553;0,127984088697163;0,000738916480612962;0,00073373105804656;-2,78767877098844;-2,62389662815726;-2,53751145670811;-2,45134366198279;-2,28388098818873
"Alpha1[17]";-1,87587416450478;0,129969212205695;0,000750377596533215;0,000750359762600217;-2,12717657021767;-1,96411191132978;-1,87677406425437;-1,7887862223301;-1,61819622922119
"Alpha1[18]";-1,74164561589601;0,176445479225702;0,00101870844928252;0,00101873598166254;-2,08382578701082;-1,86315157024912;-1,74419191518939;-1,62328517657732;-1,39083540112319
"Alpha1[19]";-2,31858942206732;0,0920125935455159;0,000531234956523392;0,000530499270212426;-2,49874468418939;-2,3804304709777;-2,31919680383914;-2,25581755817689;-2,13856318379063
"Alpha1[20]";-1,66380290866484;0,111613140978158;0,000644398769888391;0,000641191925963216;-1,88017357238519;-1,73972025688043;-1,66461699546112;-1,58929627597867;-1,44254962691386
"Alpha1[21]";-1,64706679421395;0,072303210709821;0,000417442781665894;0,000414872504069104;-1,78780899620582;-1,69580279908515;-1,64789015775202;-1,59872387909373;-1,5030246379625
"Alpha1[22]";-2,48069914581195;0,119832108511985;0,000691851001069549;0,000686896789760727;-2,71347265348844;-2,56207269652777;-2,48072282334007;-2,40039147845711;-2,24590984148677
"Alpha1[23]";-2,4144147109874;0,143779572732566;0,000830111750211161;0,000825889594470773;-2,69466338422113;-2,51112513761799;-2,41444399111981;-2,31829026523597;-2,12910545747312
"Alpha1[24]";-1,90589811786512;0,113468866071709;0,000655112803711425;0,00065514957948865;-2,12500464229173;-1,98265798952788;-1,90661266813437;-1,8295304326759;-1,68110203947659
"Alpha2[1]";0,771161060262528;0,0480264967546477;0,000277281108295305;0,000278300740042409;0,676823002225858;0,738754532604839;0,770890363228831;0,803692058918587;0,865003611649686
