"years";"Smolt";"1SW";"2SW"
1996;33;58;13
1997;40;77;21
1998;130;44;14
1999;46;50;4
2000;39;35;6
2001;188;59;16
2002;29;56;20
2003;52;141;30
2004;72;108;30
2005;50;163;32
2006;48;93;13
2007;45;76;38
2008;51;60;17
2009;61;73;44
2010;53;77;29
2011;45;51;26
2012;104;64;31
2013;32;89;53
2014;67;128;34
2015;58;74;36
2016;48;91;38
2017;44;39;10
2018;117;11;4
2019;103;14;3
