"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1[1]";-0,957762586050253;0,199595384188208;0,00115236448790068;0,00117943470859865;-1,32997116791314;-1,09491592936691;-0,962819399782201;-0,826985038628159;-0,551878009523162
"Alpha1[2]";-2,25212262968257;0,0607521326585821;0,000350752601442762;0,0003489386179353;-2,36935923859216;-2,29346775470219;-2,25224345109847;-2,21098611007417;-2,13175171533998
"Alpha1[3]";-2,31319430335535;0,115288110890406;0,000665616218569392;0,000664012959154718;-2,53864389753943;-2,39101718328198;-2,31354042373195;-2,23523973399427;-2,084685815655
"Alpha1[4]";-1,53596031702352;0,161827957410827;0,000934314147735484;0,00093019217560995;-1,84666044818241;-1,64579251452743;-1,53790136604873;-1,42907175246625;-1,20806323644787
"Alpha1[5]";-1,74350588305572;0,116206947691628;0,000670921125314659;0,000671641534227804;-1,96819398575881;-1,82188532351652;-1,74412469508072;-1,66644357207695;-1,51244904857885
"Alpha1[6]";-2,50275725612886;0,0893567829913182;0,000515901627139565;0,00051471882557429;-2,67828507044912;-2,56318623037588;-2,50324255415966;-2,44273712801807;-2,32715106750616
"Alpha1[7]";-0,804859454345393;0,138854850330518;0,000801678852166099;0,000801700016966902;-1,06836716931347;-0,899823151393034;-0,807177346349691;-0,713890786751516;-0,523558557282038
"Alpha1[8]";-1,60758318251993;0,0480331985447809;0,00027731980109868;0,000275548270646891;-1,70139249289289;-1,63988320364551;-1,60787394005519;-1,57521761581918;-1,51310833082309
"Alpha1[9]";-2,1993184631479;0,0565047466635137;0,000326230306966713;0,000326090577316971;-2,30747704312337;-2,23824164795104;-2,19979165275059;-2,16215935176406;-2,08753668623919
"Alpha1[10]";-1,94326532993057;0,0541099308485569;0,000312403831412464;0,000315181095245169;-2,04891516361853;-1,97996810238631;-1,94356210345873;-1,9063860687636;-1,8366135674162
"Alpha1[11]";-2,09760993263344;0,091054948321335;0,000525705989243702;0,000524577419732469;-2,2748081893462;-2,1591854913589;-2,09804595421078;-2,03682626845099;-1,91779874342154
"Alpha1[12]";-2,45287394372463;0,0843173546372196;0,000486806473971559;0,000489214779777358;-2,61896847414156;-2,50987567471387;-2,45320225430886;-2,39608903604016;-2,28731033176429
"Alpha1[13]";-2,99216451953469;0,100540580785432;0,000580471313809508;0,000573058810075962;-3,18921825766375;-3,05916316656631;-2,991893577863;-2,92540418318341;-2,79371895755704
"Alpha1[14]";-2,18650287060137;0,0672773982619348;0,000388426239969057;0,000392941669889885;-2,31833404025565;-2,23166755042279;-2,18661479085433;-2,1414925574656;-2,0555825803554
"Alpha1[15]";-2,53189998689899;0,0788693029114969;0,000455352132667509;0,000460931466460484;-2,68460904766205;-2,58526039926293;-2,53281692939686;-2,47904188853299;-2,37472594333112
"Alpha1[16]";-2,42316394170712;0,119683539836521;0,000690993239421828;0,000713518951151755;-2,6577515190802;-2,5028221595167;-2,42294667107659;-2,34221640259881;-2,18939702703063
"Alpha1[17]";-1,96115820832673;0,121690524738739;0,000702580572157377;0,000703314916081939;-2,1952230059331;-2,04337686060824;-1,96344213848634;-1,87867599516482;-1,72123421415511
"Alpha1[18]";-1,86067937016001;0,169724812346899;0,000979906660966406;0,000987634962230532;-2,1879641798579;-1,97558144063615;-1,86286969831549;-1,74761944569267;-1,522345223895
"Alpha1[19]";-2,28173785075257;0,0814284915411738;0,000470127615110019;0,00046544304418043;-2,43998288441128;-2,33706037954375;-2,28204398448756;-2,22719455177521;-2,1216212580895
"Alpha1[20]";-1,68454650189725;0,104590269646411;0,000603852203349708;0,000603858301907533;-1,88687016663738;-1,75553481939919;-1,68585586000602;-1,61340368774174;-1,47887812405063
"Alpha1[21]";-1,68540475401036;0,0650276475462164;0,000375437298155761;0,00037994770400815;-1,81043451778456;-1,72970796022949;-1,68649758124628;-1,64188192411366;-1,55526230780643
"Alpha1[22]";-2,45127128844207;0,113143680338102;0,000653235343003083;0,000657087634382437;-2,67098392476229;-2,52752811239189;-2,45140449846731;-2,37436656160681;-2,22869538843706
"Alpha1[23]";-2,47095280730757;0,138591113084843;0,000800156164468238;0,000804087286485275;-2,73973622125107;-2,56531975535835;-2,47224029076651;-2,3782967605748;-2,19610954518186
"Alpha1[24]";-1,93229888575458;0,103987789666374;0,000600373783563155;0,000594305202415796;-2,1337214026419;-2,00295808116378;-1,93381943594972;-1,86258876815013;-1,72606581829046
"Alpha2[1, 1]";1,57714622023178;0,266083033871415;0,00153623111232454;0,00153014761562959;1,06906926147877;1,39360415415281;1,57333075076696;1,75532708474118;2,10499248659611
"Alpha2[2, 1]";0,537229802855007;0,208416687358723;0,00120329430550169;0,00121204923962418;0,119816330597516;0,397653317624946;0,540709767455227;0,678288612168588;0,936133570243866
"Alpha2[3, 1]";0,889266863413256;0,238171574119464;0,00137508422431189;0,0013661136632241;0,423322783722107;0,728884569434233;0,888777332324487;1,04889407390256;1,35845222542962
"Alpha2[4, 1]";1,28305304106482;0,266463934709007;0,00153843024433572;0,0014899904348418;0,773287548201098;1,1026239993677;1,2765121593578;1,4562004930535;1,8278295671618
"Alpha2[5, 1]";1,31666190983254;0,284250153582647;0,00164111902688134;0,00163702693804041;0,766668563402233;1,12707250093234;1,31370326102072;1,50356620321542;1,88771722481648
"Alpha2[6, 1]";1,40955982900729;0,196162272633394;0,00113254340909739;0,00113715551048469;1,03299999311284;1,2766959922162;1,40580924594743;1,53991870604698;1,80164413444977
"Alpha2[7, 1]";0,556956674356618;0,187341921066445;0,00108161908558214;0,00108472813617239;0,185503855281367;0,431742161300729;0,557398409025036;0,683738323390065;0,921160669134544
"Alpha2[8, 1]";1,234891099627;0,147660520906393;0,000852518414939864;0,000849573426559242;0,946162142885673;1,13478272906688;1,23484445198438;1,33250929908267;1,52893974053412
"Alpha2[9, 1]";0,447942940504418;0,184936061867524;0,00106772885102084;0,00106770596874965;0,0850648256456946;0,32278231919436;0,447312162415062;0,573116587476044;0,808216556371402
"Alpha2[10, 1]";1,24066953078011;0,166692204485992;0,000962397891317996;0,000955562662151668;0,91464111441474;1,12762100883495;1,23978636821554;1,35278625803456;1,56770825272024
"Alpha2[11, 1]";1,03329371201386;0,225004317775028;0,00129906303436241;0,00130246901306053;0,610402492077824;0,880991384566658;1,02663760892079;1,17738179454414;1,49481353952094
"Alpha2[12, 1]";0,409752065651758;0,199880313763603;0,00115400952957123;0,00116070662393062;0,0177853642696723;0,27680466990767;0,409667832266247;0,54561125147486;0,800926734237598
"Alpha2[13, 1]";0,517734194538612;0,217215124314339;0,00125409210494942;0,00127158350445194;0,088708774446455;0,374456402097646;0,518493414826267;0,662051084818748;0,942969711906687
"Alpha2[14, 1]";0,523559118762093;0,15299036903813;0,000883290307475845;0,000880163199168014;0,221280836055228;0,420997253795251;0,525622960127471;0,626189046695636;0,82147280364089
"Alpha2[15, 1]";-0,0861601404792142;0,225714353316435;0,00130316242647206;0,0013032460756592;-0,538691104717871;-0,235174235805539;-0,0825093124227691;0,0655439213372471;0,346031910779598
"Alpha2[16, 1]";0,599602111317833;0,227385125993785;0,00131280863702229;0,00131883478825673;0,150847590106805;0,447932853489632;0,599074197988932;0,751369031287581;1,04601451353639
"Alpha2[17, 1]";0,740769929315894;0,168377447802407;0,000972127648141819;0,000972071700218317;0,412894117848795;0,627134640354551;0,74013283162086;0,854234186215998;1,07377965049581
"Alpha2[18, 1]";0,478538088753763;0,167504966001154;0,000967090372113656;0,000966068467648548;0,146075664075263;0,365796110752228;0,480515088843487;0,592075844003497;0,803079591100999
"Alpha2[19, 1]";1,10500561531673;0,177413863373803;0,00102429941776837;0,00103512764472949;0,760718382203319;0,984766953607827;1,10428800049333;1,22450910381625;1,45189454317864
"Alpha2[20, 1]";0,565805368231364;0,15678557765171;0,000905201954622657;0,00090996470677511;0,250182708046416;0,461747489559035;0,567330955702525;0,67201251933221;0,868230344536947
"Alpha2[21, 1]";0,802727576964822;0,201206296665859;0,00116166509542682;0,00115914457376069;0,410615345188826;0,666818240174217;0,803368728214939;0,937798820282375;1,19554444409041
"Alpha2[22, 1]";1,13283095608278;0,280400258243553;0,00161889164577756;0,00160119761582261;0,60809827797091;0,942292075857467;1,12540893414724;1,31312113755139;1,71378595973985
"Alpha2[23, 1]";0,830887262878565;0,356493510304145;0,00205821624138453;0,0020582987611304;0,14205808015032;0,596458378717072;0,823659757150238;1,06150500738422;1,54028550691243
"Alpha2[24, 1]";1,28729867790177;0,331985983854249;0,00191672197145433;0,00191677840138264;0,683183721146755;1,06160199611964;1,27016844323972;1,49471909738566;1,99342358793254
"Alpha2[1, 2]";3,54148907280172;0,544463740228044;0,00314346286984652;0,00314051476817638;2,59825984811195;3,16282567401624;3,49767695294593;3,87084671282941;4,72822612389069
"Alpha2[2, 2]";3,31299858593086;0,538205878760713;0,00310733308981937;0,00302927647257064;2,38157090892095;2,93823341173715;3,2644354788026;3,63842385675635;4,50896074434486
"Alpha2[3, 2]";2,61333346444246;0,532042230631157;0,00307174725075147;0,00307188088462984;1,62730772954351;2,25047175444999;2,59179678388476;2,94736368417028;3,73652199003326
"Alpha2[4, 2]";2,65878622976442;0,607806480851368;0,00350917235334737;0,00354595974194848;1,55828333488763;2,23975692378986;2,62515988320155;3,03442304738173;3,95832670864199
