"";"year";"Smolt";"Surviving smolt";"Post-smolt";"Maturing post-smolt";"Non-maturing post-smolt"
"1";1996;0,685766666666667;0,530433333333333;0,0333666666666667;0,00866666666666667;0,449766666666667
"2";1997;0,369066666666667;0,966066666666667;0,904866666666667;0,682266666666667;0,2121
"3";1998;0,426166666666667;0,475666666666667;0,8974;0,347666666666667;0,297633333333333
"4";1999;0,6416;0,752766666666667;0,776766666666667;0,632233333333333;0,7905
"5";2000;0,6562;0,0486333333333333;0,270466666666667;0,154866666666667;0,302766666666667
"6";2001;0,434866666666667;0,0982666666666667;0,6058;0,572033333333333;0,416166666666667
"7";2002;0,546333333333333;0,9776;0,797033333333333;0,217766666666667;0,949533333333333
"8";2003;0,130666666666667;0,749066666666667;0,0146333333333333;0,2217;0,0919666666666667
"9";2004;0,939633333333333;0,308066666666667;0,0663333333333333;0,213666666666667;0,604733333333333
"10";2005;0,616066666666667;0,9429;0,176966666666667;0,426533333333333;0,0874
"11";2006;0,129733333333333;0,244;0,692533333333333;0,938933333333333;0,853966666666667
"12";2007;0,242133333333333;0,311366666666667;0,391;0,348933333333333;0,196966666666667
"13";2008;0,253033333333333;0,981433333333333;0,5177;0,897433333333333;0,518233333333333
"14";2009;0,5996;0,657533333333333;0,4788;0,512366666666667;0,497266666666667
"15";2010;0,527933333333333;0,447466666666667;0,729033333333333;0,2093;0,788166666666667
"16";2011;0,355666666666667;0,0563666666666667;0,351833333333333;0,458066666666667;0,4448
"17";2012;0,577;0,47;0,1013;0,242733333333333;0,454466666666667
"18";2013;0,954166666666667;0,7888;0,3793;0,2293;0,298533333333333
"19";2014;0,185533333333333;0,2623;0,169633333333333;0,391233333333333;0,0539333333333333
"20";2015;0,3357;0,560266666666667;0,871733333333333;0,0547333333333333;0,762033333333333
"21";2016;0,1749;0,7569;0,7883;0,8519;0,939266666666667
"22";2017;0,0163;0,0609333333333333;0,7115;0,302233333333333;0,590766666666667
"23";2018;0,437066666666667;0,447;0,8552;0,416066666666667;0,692766666666667
"24";2019;0,2242;0,6562;0,691066666666667;0,319666666666667;0,210633333333333
