"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Gamma4[13, 2]";0,140004503530075;0,0585424291486922;0,00033799487228012;0,000335601042925031;0,0486549170171373;0,0973378801563557;0,131923266085256;0,174479462120592;0,274349249489742
"Gamma4[14, 2]";0,170396881759295;0,0507047127758707;0,000292743795703316;0,000294748865195528;0,0861224827752056;0,133770371383927;0,165523679378082;0,201775069171791;0,282584485803591
"Gamma4[15, 2]";0,166059100388926;0,0526360036198981;0,000303894108590143;0,000303007643313768;0,0794371438743641;0,128053089746648;0,160798683570811;0,198134682595338;0,283137920802232
"Gamma4[16, 2]";0,225305506794787;0,0676678619334299;0,000390680583027522;0,000394250377914336;0,110999208466256;0,176458143874681;0,219012114752222;0,268011911599273;0,373494933644058
"Gamma4[17, 2]";0,171764940521389;0,0549162297177224;0,000317059000104064;0,000317064723242872;0,0794604371358646;0,131973890260182;0,16643399738677;0,206365246852387;0,291550129419563
"Gamma4[18, 2]";0,127746490851781;0,0395759062951128;0,000228491601529068;0,000228617883348793;0,0609624211463459;0,099084106432247;0,124219176111693;0,1524933941287;0,213808214290511
"Gamma4[19, 2]";0,150144847888007;0,0488883588255747;0,000282257071281846;0,000277896744468686;0,068519909900765;0,115207660444096;0,144875611395868;0,179953900165988;0,258281263366938
"Gamma4[20, 2]";0,126172502417036;0,0443618657239356;0,000256123351174682;0,000258478876913841;0,0529413301006927;0,0942195849551752;0,121737720777243;0,153260939015164;0,225513950239615
"Gamma4[21, 2]";0,10789009008051;0,040838179903478;0,000235779341604874;0,000240792426485209;0,0422884234720156;0,0780536316727982;0,103200775128055;0,13232164185806;0,200180367526469
"Gamma4[22, 2]";0,319364294937385;0,103140632159858;0,000595482717418822;0,000596165789105989;0,142008455528865;0,243462550820321;0,311326963991813;0,386870350709403;0,542153351250003
"Gamma4[23, 2]";0,261705371681592;0,101060908887205;0,00058347542950576;0,000583117850802098;0,0964379939264235;0,186868415313702;0,250557775396121;0,325804653529833;0,486371890300456
"Gamma4[24, 2]";0,328394542085254;0,120369903950287;0,000694955964480275;0,000694991387766648;0,117866277354769;0,240440526490764;0,320170917565434;0,407702920413599;0,582812780816266
"Mu_Alpha1";-2,09886932058734;0,112898144166675;0,000651817739256388;0,00065502584338449;-2,31908341479072;-2,17370270361246;-2,09984449484986;-2,02445883698496;-1,87402880048809
"Mu_Alpha2[1]";0,838372230872017;0,105100944944677;0,00060680058855893;0,000610314269349444;0,634438084582289;0,769172278811197;0,83731394468424;0,906544351710015;1,04923651931174
"Mu_Alpha2[2]";2,75651259275776;0,190204736178503;0,00109814755633801;0,00110001182314317;2,39751443230789;2,62854299930335;2,75106845162115;2,87743806145011;3,14571046035489
"Mu_L1[1]";1,11807577907313;0,0227101490320715;0,00013111710657003;0,000131635411042058;1,07285937956649;1,10304985742707;1,11823821569323;1,13356244865951;1,16173350273627
