"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1[1, 1]";-0,91360177610668;0,332992757457215;0,00192253458156119;0,00191482962725881;-1,51395350054667;-1,14234874530325;-0,932378488535086;-0,703254140843232;-0,204672707274953
"Alpha1[2, 1]";-2,39269589920429;0,216842102015624;0,00125193845970365;0,00126718393909194;-2,79191312170769;-2,54311588042342;-2,40102730456118;-2,25283825576781;-1,94546472085573
"Alpha1[3, 1]";-2,42369328454262;0,177821221422488;0,00102665130055902;0,00102650871435376;-2,77224253264299;-2,54212705945677;-2,42246253151194;-2,30381300368767;-2,08122520827577
"Alpha1[4, 1]";-1,69507723580691;0,230572460165793;0,00133121071944435;0,00131957601643677;-2,13889325178007;-1,85182302354706;-1,69857295506632;-1,54297503055161;-1,23019299636131
"Alpha1[5, 1]";-1,68858326201657;0,277545650693926;0,00160241056140548;0,00159653599862116;-2,20788823823513;-1,87711950915941;-1,69670783311816;-1,50932045105973;-1,12112406766803
"Alpha1[6, 1]";-2,73246841425637;0,162534516661885;0,000938393469473453;0,000941979430705796;-3,06022012785906;-2,83967230288455;-2,73028843619848;-2,62272398633243;-2,41837383621261
"Alpha1[7, 1]";-0,7709322952312;0,258177203974675;0,00149058678213404;0,00147772818110328;-1,24036973318787;-0,948226373371916;-0,78496120994453;-0,607391358269852;-0,223124582151333
"Alpha1[8, 1]";-1,66023843138602;0,18498729390798;0,00106802463934433;0,00106451000086897;-2,00000469370535;-1,78756926983287;-1,66978117954968;-1,54274309028746;-1,27191265850015
"Alpha1[9, 1]";-2,12360388956567;0,181300944538971;0,00104674149133908;0,0010467604270439;-2,46669009607114;-2,24755507380778;-2,12764582999199;-2,00428627826416;-1,75526184527867
"Alpha1[10, 1]";-2,20510686644501;0,161598855506654;0,00093299142727502;0,00092807330350346;-2,51096696060056;-2,31457190422432;-2,20961428328739;-2,10108618905164;-1,87565712035473
"Alpha1[11, 1]";-2,28133460872472;0,187195273742474;0,00108077241686243;0,00107352810740525;-2,64188972810189;-2,40821919107315;-2,28505745631833;-2,1569635139265;-1,90589163570353
"Alpha1[12, 1]";-2,54850997441093;0,175292663249539;0,00101205266314088;0,00100523196694163;-2,88033083051856;-2,6678587374716;-2,55320980219765;-2,43385054222814;-2,1914914054246
"Alpha1[13, 1]";-3,2268212058841;0,192250073822142;0,00110995631872939;0,00112933541165153;-3,60005701409768;-3,35640410573557;-3,22693654272102;-3,09869942563531;-2,84624146256174
"Alpha1[14, 1]";-2,2887712971305;0,145344729499736;0,000839148187019662;0,000844649369384458;-2,56796043545137;-2,38708029136997;-2,29000171437148;-2,19322507127075;-1,9969789718785
"Alpha1[15, 1]";-2,84765051546527;0,171306080068763;0,0009890361144152;0,000989049686307246;-3,18014285797373;-2,96348578948611;-2,84880603724447;-2,73222189160425;-2,50639255982117
"Alpha1[16, 1]";-2,62701322904427;0,208312347499457;0,00120269189904334;0,00118741163129315;-3,03046863451427;-2,76768000883708;-2,62981877420346;-2,49014152460104;-2,21082949296092
"Alpha1[17, 1]";-1,66253414374587;0,187666840479379;0,00108349500868736;0,00108538066904656;-2,02402142482426;-1,78931509463649;-1,66612577450501;-1,53784967987627;-1,28442172218939
"Alpha1[18, 1]";-1,56218377835587;0,262744429594031;0,00151695567154189;0,00151504192430023;-2,04962608130913;-1,74433562145067;-1,57170851867239;-1,39122389055849;-1,02164262042874
"Alpha1[19, 1]";-2,37542088783409;0,154539262078225;0,000892232845612293;0,000892257138500257;-2,67004379983746;-2,47989977477968;-2,37866566907206;-2,27226083493745;-2,06499992134939
"Alpha1[20, 1]";-1,54080655176301;0,199052143842776;0,00114922808830399;0,00114283540653302;-1,91533486186182;-1,67689527020832;-1,54587328395119;-1,41200555527079;-1,13344871518949
"Alpha1[21, 1]";-1,58945572191815;0,181910155686827;0,00105025877354116;0,0010573789712808;-1,92416500116132;-1,71364322046486;-1,59655923120384;-1,47285170021445;-1,21186640790148
"Alpha1[22, 1]";-2,23007025192497;0,261488798184134;0,00150970628021682;0,00148986334463882;-2,7265652026717;-2,40761309290483;-2,23561785426785;-2,05964192537149;-1,70277393882747
"Alpha1[23, 1]";-2,62632265958195;0,308072129075439;0,00177865526651526;0,00180031477813649;-3,26956288063996;-2,8237270762965;-2,61111123731528;-2,41538675576823;-2,06050030606471
"Alpha1[24, 1]";-1,20579116376479;0,294035418747022;0,00169761428164878;0,00169245614125363;-1,78595496280174;-1,40054514056992;-1,20844583932672;-1,01229841863117;-0,619866167505153
"Alpha1[1, 2]";-1,55138419025119;0,285699577460565;0,0016494872795422;0,00165315523411127;-2,08058619704716;-1,74878886967455;-1,56377367711376;-1,36956064068312;-0,952840798799991
"Alpha1[2, 2]";-2,43849116782053;0,187629501389916;0,00108327943135383;0,0010828667723981;-2,79317890866376;-2,56736019602092;-2,4446313699839;-2,31577210903123;-2,05737330468794
"Alpha1[3, 2]";-2,44757900986833;0,223141070039973;0,00128830556854839;0,00129118381453289;-2,89393902240445;-2,59528942381765;-2,44451759206396;-2,29794119457162;-2,01215986344547
"Alpha1[4, 2]";-1,730798474461;0,292639909791398;0,00168955730693691;0,00168959709986713;-2,27937653710036;-1,9317330095031;-1,7396088191765;-1,54039967387424;-1,13136794172463
"Alpha1[5, 2]";-1,96679569275339;0,239826236069771;0,00138463741953617;0,00135485306208552;-2,42796453140934;-2,1294685877817;-1,97114223008492;-1,80839348338099;-1,48876502139535
"Alpha1[6, 2]";-2,35453166929595;0,184436818691986;0,00106484646920296;0,00108053423463821;-2,71963842348611;-2,47648828436739;-2,35400481420357;-2,23047853343192;-1,99607223528898
"Alpha1[7, 2]";-1,38105080535153;0,308114763957393;0,00177890141912099;0,00178150358446478;-1,94409323196464;-1,59361508653818;-1,39464581369028;-1,18702605421965;-0,735215069710813
"Alpha1[8, 2]";-1,9406917900625;0,179314889547937;0,00103527499750209;0,00101939245184336;-2,27459316876151;-2,06342085102085;-1,94707246721192;-1,82433805559615;-1,57326407360108
"Alpha1[9, 2]";-2,38303066209346;0,158665979500166;0,000916058459756567;0,000924838489588627;-2,68905266760148;-2,49063681163018;-2,3842371539702;-2,27821461470942;-2,06590101044675
"Alpha1[10, 2]";-1,95258177491377;0,198111052798568;0,00114379469662694;0,00114373574825622;-2,31895218142414;-2,0882346777726;-1,96176268037383;-1,82420338211485;-1,54419485531983
"Alpha1[11, 2]";-1,96190182344707;0,21302362177637;0,00122989245376336;0,00121266751984571;-2,36163230692074;-2,10678077251343;-1,96816740880822;-1,82294386943751;-1,52175427991689
"Alpha1[12, 2]";-2,55921343691448;0,22030572256782;0,00127193568228546;0,00127439921419664;-2,98036586693881;-2,71205325581344;-2,56108894061759;-2,41148354052506;-2,12102254999229
"Alpha1[13, 2]";-2,871935990512;0,239086779580268;0,00138036816550349;0,00137995094144057;-3,3324240628782;-3,03509874925194;-2,87501149462831;-2,71166570496889;-2,39980760236826
"Alpha1[14, 2]";-2,09746467005656;0,210535303377376;0,00121552614078848;0,00121545220750782;-2,4962604775555;-2,2404245763946;-2,10198604878817;-1,95968500324334;-1,67407752550034
"Alpha1[15, 2]";-1,95920117851482;0,216830036660399;0,00125186880034278;0,00125663307769421;-2,36196037774854;-2,10901776283001;-1,96645677801506;-1,81999387484745;-1,51151439929129
"Alpha1[16, 2]";-2,36967484698978;0,237747799112791;0,00137263755817011;0,00138232078259539;-2,82730265846478;-2,5305640886983;-2,37351611830022;-2,21213718280692;-1,88781627340562
"Alpha1[17, 2]";-2,17382172131188;0,20711627468343;0,00119578636942031;0,00120622650168342;-2,57642773548902;-2,31180648754648;-2,17340882300093;-2,03619413842049;-1,76911992197929
"Alpha1[18, 2]";-2,00146108709034;0,246583948780214;0,00142365309206097;0,00141164003490134;-2,46034774130795;-2,17061520642505;-2,00972156112847;-1,83988289187737;-1,49581064995676
