"";"cohort";"mean";"sd";"log_sd"
"1";1996;2043,731;281,09;0,136893814455865
"2";1997;10002,156;272,26;0,0272150912715191
"3";1998;4922,62;357,35;0,0724980899349092
"4";1999;2631,096;212,51;0,0806373611379844
"5";2000;3079,007;250,05;0,0810778214369029
"6";2001;11832,582;713,81;0,0602710255695138
"7";2002;1271,074;81,69;0,0642022685782361
"8";2003;10160,129;211,25;0,0207898122148055
"9";2004;7898,599;168,14;0,0212849084394735
"10";2005;10795,169;252,62;0,0233980056756198
"11";2006;7246,258;421,37;0,0581009457966092
"12";2007;7583,905;282,02;0,0371738010105545
"13";2008;10491,227;621,24;0,0591633797370438
"14";2009;13742,31;629,21;0,0457623650463061
"15";2010;10619,92;456,28;0,0429447342873282
"16";2011;8919,113;682,23;0,0763792593901975
"17";2012;8326,448;806,93;0,0966852771066396
"18";2013;8494,899;1248,8;0,1462208059909
"19";2014;10292,4;554,79;0,0538637873161166
"20";2015;6659,236;511,59;0,0767111361399389
"21";2016;9791,068;372,38;0,038018880607256
"22";2017;6285,959;439,9;0,0698959114130169
"23";2018;5211,74;490,42;0,0938917814556102
"24";2019;5278,488;279,39;0,0528929142609293
