"";"cohort";"mean";"sd";"log_sd"
"1";1996;459,09;31,965;0,0695427053754184
"2";1997;577,252;27,463;0,0475485211843782
"3";1998;261,611;21,86;0,0834138712136179
"4";1999;308,874;39,884;0,128593634946023
"5";2000;318,253;20,003;0,0627905691611781
"6";2001;592,938;37,873;0,0638084528063735
"7";2002;226,918;20,363;0,0895573871696111
"8";2003;1117,213;40,35;0,0361048887032428
"9";2004;452,103;20,339;0,0449647986201555
"10";2005;891,666;38,572;0,0432381334127241
"11";2006;481,924;30,343;0,0628999441168993
"12";2007;291,171;22,727;0,0779352968057651
"13";2008;271,582;23,559;0,086584747306772
"14";2009;768,394;33,885;0,0440770535707961
"15";2010;388,96;21,114;0,054243291833894
"16";2011;391,269;38,059;0,0970417637254073
"17";2012;612,021;36,149;0,0590135492951547
"18";2013;688,292;41,003;0,0595193486791872
"19";2014;604,396;33,413;0,0552411210874383
"20";2015;624,758;33,968;0,0543297357972735
"21";2016;956,274;29,921;0,0312814952983198
"22";2017;305,183;27,275;0,0891949088658913
"23";2018;234,776;21,757;0,0924732677998191
"24";2019;446,558;36,474;0,081542345035513
