"";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018";"X2019"
"48";1,42410238;0,861405633;1,052412969;1,027221389;0,838778298;0,808972246;1,087920834;1,129943528;1,218658102;1,131063048;0,919830062;0,981253373;1,657561786;1,14862028;0,662907813;1,149789257;1,428771568;0,767774586;1,363268045;0,921329503;1,008544636;0,896461325;NA;NA
"49";1,142298774;1,262146514;0,868468992;0,95503668;NA;0,838934181;1,14862028;1,38421813;0,803692113;1,204650538;0,865150875;1,456786697;0,877807369;1,157992149;1,101928399;0,857660391;0,994537072;1,052412969;1,198477402;0,821777111;0,826446299;1,050567329;NA;NA
"50";0,898858051;1,217203611;1,164770225;1,059905706;NA;0,93631047;0,865150875;1,059905706;0,807769547;0,915160874;0,940055712;1,358733746;0,980529507;1,07391327;1,22332729;0,793991279;1,231955611;1,190986918;1,149789257;0,882476557;1,017883012;0,973762889;NA;NA
"51";NA;1,19473216;1,059905706;1,224694095;NA;1,131063048;0,932565228;1,399479899;1,143951092;1,058625687;0,928819986;1,303344175;0,8763866;1,036559765;0,99623434;1,242004043;0,805227004;0,755938084;1,041177243;1,017883012;0,84979224;1,044922485;NA;NA
"52";NA;0,958781922;0,915160874;1,265891756;NA;0,857660391;1,220426472;1,34939537;1,260680795;1,640415944;1,059903452;0,938376498;0,808972246;1,338863161;0,735507325;0,687078874;0,84979224;0,835188939;1,006396337;1,116082081;1,045898141;1,119827322;NA;NA
"53";NA;1,614199251;1,093610629;1,138553532;NA;0,877807369;1,153534499;0,985198696;1,168515467;1,284026736;0,905822497;0,677032279;0,925074745;1,092590023;0,948190845;1,071139178;0,887145745;1,089865387;1,018705792;0,692869748;1,036559765;1,134612716;NA;NA
"54";NA;1,048667727;0,857660391;NA;NA;0,820207972;0,901153309;1,265349983;1,129943528;1,322070384;0,992489098;1,108591597;1,183496434;1,055236517;0,943800954;0,93631047;1,067393936;1,086120145;1,052412969;1,143951092;0,94784519;1,067393936;NA;NA
"55";NA;0,910491685;1,078629662;NA;NA;1,044922485;1,018705792;1,078582458;1,190986918;1,161024983;0,790962242;1,330718617;1,614199251;0,933977556;0,838934181;0,775265069;0,940055712;0,84641716;1,097259211;0,952514379;1,087920834;1,041932736;NA;NA
"56";NA;1,183496434;1,044922485;NA;NA;1,217203611;0,99920626;1,106179667;1,468134817;0,994537072;1,007470066;1,067393936;NA;1,228439337;1,037432001;1,330718617;0,896484121;0,872641358;1,284617965;1,288695924;1,181304597;1,089865387;NA;NA
"57";NA;0,891367568;1,044922485;NA;NA;0,823953214;0,925074745;1,116082081;0,7009856;1,19473216;0,957183567;1,059905706;NA;1,112336839;0,666653055;0,971191131;0,947546196;1,003724824;1,198477402;1,071139178;1,017883012;0,621710152;NA;NA
"58";NA;1,08295458;1,19998135;NA;NA;0,872641358;1,078582458;0,776368843;0,937370979;1,382079687;0,940055712;1,220225359;NA;1,370758528;0,592292172;0,838934181;0,966272405;1,063648694;0,790246037;1,14543505;0,732897696;1,026196275;NA;NA
"59";NA;1,516822962;1,232184579;NA;NA;0,914989798;1,041177243;1,134612716;1,063648694;1,260680795;1,139281904;1,423082409;NA;1,011215308;0,8763866;0,887622326;0,808972246;0,994537072;0,786500795;1,358733746;1,181304597;0,850169907;NA;NA
"60";NA;0,977508131;1,587982558;NA;NA;1,098157573;1,104846355;1,33330611;0,992489098;0,84979224;1,227996478;0,854461428;NA;0,89511281;0,95503668;0,891367568;0,820207972;0,655417329;1,065318149;0,797736521;0,94784519;0,696260366;NA;NA
"61";NA;NA;NA;NA;NA;1,050364637;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,569256348;NA;NA;NA;1,069843776;1,419433192;NA;NA;NA
"62";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,831115487;NA;NA;NA;NA
