"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1[1]";-1,13155133401691;0,205700732192758;0,00118761373103992;0,00118353226045695;-1,51994394699492;-1,27303152536888;-1,13718323432003;-0,996842776910548;-0,715571085346979
"Alpha1[2]";-2,43000606853032;0,0784605706464572;0,000452992315835037;0,000453009667112927;-2,58458123045872;-2,48247530645784;-2,42968435145252;-2,37657840633491;-2,27754956432624
"Alpha1[3]";-2,44907260054869;0,122919360842495;0,000709675260710313;0,000709703481138258;-2,69058505443725;-2,5318977075701;-2,44961704929839;-2,36623927407144;-2,20646995788687
"Alpha1[4]";-1,66802238227081;0,167163393565924;0,000965118302739378;0,000965019978240418;-1,99076712597384;-1,78096709472521;-1,66966617527763;-1,55716978846683;-1,33365900977448
"Alpha1[5]";-1,82151024587948;0,127617120924312;0,000736797791188565;0,000733679278372568;-2,06806214749986;-1,9073959985807;-1,82343504724064;-1,73591877545815;-1,57056554282938
"Alpha1[6]";-2,58119052528803;0,101688957026868;0,000587101467130746;0,000593413543165347;-2,78058129562646;-2,64986518639941;-2,5812714762252;-2,51240912417183;-2,38212494471555
"Alpha1[7]";-0,954585412993359;0,146518923151793;0,000845927397230621;0,000845837792725334;-1,23630667423364;-1,05393540096198;-0,956633204918654;-0,857434478370596;-0,659921083061883
"Alpha1[8]";-1,79795774661846;0,0666092906262851;0,000384568918736157;0,000387479605586096;-1,93106866644892;-1,84226327118251;-1,7970504583481;-1,75229292447358;-1,66915375447754
"Alpha1[9]";-2,26820102095008;0,072102803399051;0,000416285729517687;0,000414782328332124;-2,40856449974635;-2,3171213239704;-2,26884301182098;-2,2189520320048;-2,12690547631295
"Alpha1[10]";-2,09395379498137;0,0730196775653972;0,000421579304985217;0,000421730934717202;-2,23864273850456;-2,14310589000501;-2,09349285512542;-2,04503557798086;-1,95229621932671
"Alpha1[11]";-2,13501745952058;0,101457429790871;0,000585764744010468;0,000581251528976149;-2,3340693064627;-2,20365328807023;-2,1354049631633;-2,06698073734727;-1,93417026188295
"Alpha1[12]";-2,57500003127181;0,0952809582247278;0,000550104868796921;0,000550104681843325;-2,76062613731894;-2,63948020956173;-2,57476396942789;-2,51054436128917;-2,38827169496689
"Alpha1[13]";-3,11821300135642;0,110763939437145;0,000639495902505392;0,000639504561181824;-3,33469088100615;-3,19248286928582;-3,11739808354448;-3,04371897129011;-2,89969172043892
"Alpha1[14]";-2,22089488125528;0,0776069661483445;0,000448064027967369;0,00044765892580056;-2,3715552803779;-2,27307701095401;-2,22043471529433;-2,16847644647482;-2,06846721361146
"Alpha1[15]";-2,45518298126923;0,0898008202317523;0,000518465277342514;0,0005155636314643;-2,62816972897973;-2,51665727944192;-2,4558289829036;-2,39487451219237;-2,27695599226714
