"Parameter";"Rhat";"zchain1";"zchain2";"zchain3";"zchain4";"zchain5";"zchain6";"Effective"
"Alpha1[1]";1,00000435141937;0,856080027940901;1,10620734766384;-0,944557245202644;1,38758163536739;0,520596816959853;0,717876620418915;30561,4187311835
"Alpha1[2]";0,999983863577769;-1,8400857878254;0,0152595950380473;1,16175185583967;0,551761251257038;-1,44608097225157;0,484941540008673;19271,202086717
"Alpha1[3]";1,00001024452383;1,41660663824309;0,944591044751962;0,424918305512193;0,558689568156572;-0,684400198856388;2,12380052935508;30130,879942094
"Alpha1[4]";1,00016855085946;-1,32519413604455;0,107686255015449;-1,00221343131875;0,584476401257179;0,793881264423696;-0,818404036366152;29429,7572101916
"Alpha1[5]";1,0002280080131;-0,734803090408204;-0,996726025991287;0,481627555097596;0,0848108717147672;0,905958046298109;-1,8825688886591;30184,446414182
"Alpha1[6]";1,00013057660409;-1,41789006770515;2,15906210939476;-0,0945584144250578;0,0330211031677913;0,875280250540519;0,393650622335765;9151,51436879895
"Alpha1[7]";1,00017966198085;1,4110456372436;-0,5544762463194;0,718062199596738;-0,835702050736836;0,884396999518643;-0,115422690735956;6290,89219601121
"Alpha1[8]";1,00005936380934;1,95864177304069;0,892200105028998;-0,0498481853735108;0,903156754073485;0,986559224820131;-0,236504133645225;29936,5442097696
"Alpha1[9]";0,999987750687848;0,846568825826941;1,52601200486861;-0,449400855375914;0,490087513515859;-1,48463778393855;0,254984622961246;30119,6290423151
"Alpha1[10]";1,00008430820922;-0,61790652032703;-0,227114292312399;0,425953960086748;0,525625417574109;0,168846879678565;0,774199201642235;25406,7218330485
"Alpha1[11]";1,00013900433866;0,316076852449465;-0,272094255241765;-0,598332186527192;-0,729411095613729;0,00720076681496874;0,00957441097047762;30126,5142408139
"Alpha1[12]";1,00012380198456;0,328707651105509;0,175577452385992;0,796695272999813;-0,495186939410217;-0,172868351643057;-2,28959714646176;26539,3084665231
"Alpha1[13]";1,00002880951696;-0,883352535301511;-0,85712268227506;0,536136564612343;-0,362439174932221;-1,04000568359504;-0,87666759943815;21553,034671838
"Alpha1[14]";0,999979055570538;-2,38639696262822;-0,257293144236661;1,63612093858503;0,0260019383729244;-2,81245111679903;0,301413781923424;5604,81297120525
"Alpha1[15]";0,999990268745411;-0,698123593068087;1,00620465804904;-1,49090511544722;-0,44773212267294;-0,376840196136182;0,801936357684437;29247,8087528379
"Alpha1[16]";1,0001112659672;0,228189245319602;-0,268773993730002;0,177358207849127;0,714103254476542;-1,46762492683858;0,0659561790348144;17331,5546421547
"Alpha1[17]";1,00010626513809;1,07621707115062;1,01266867355392;-1,03665874490114;-2,21930171538244;2,09033397474065;0,508785993934605;29851,5782481109
"Alpha1[18]";0,99996248205307;0,0451238724597131;0,290766624591645;0,137948628487784;-1,48003439582553;1,818740711566;0,427836321566885;10558,7647646193
"Alpha1[19]";1,00001056787054;-0,168053628531801;-0,480258566778126;0,790360952803286;-0,631657562363635;0,263031143615276;-0,0707435207652835;22907,1211831735
"Alpha1[20]";1,00002119243488;0,207341136393094;0,317008951866166;2,1204093295888;1,623965777426;1,19146361035426;0,0698824060495806;12506,4629637984
"Alpha1[21]";1,00003088759388;0,0831660450346619;-0,154733410695613;0,429052820277209;-0,367520446998169;-1,9687506766804;-0,31856978008207;30085,4123949063
"Alpha1[22]";1,00007259368292;0,186286642822024;-0,496664298551671;-1,47557858237403;-0,217751406440058;1,20638731155766;0,999320219385278;30118,6795133736
