index;stage;cohort;sexe;age;migration;end1sum
138;Smolt;1996;NA;Other;NA;NA
139;Smolt;1996;NA;1FW;NA;NA
140;Smolt;1996;NA;1FW;NA;NA
141;Smolt;1996;F;1FW;0,969977972;NA
142;Smolt;1996;NA;1FW;NA;NA
143;Smolt;1996;NA;1FW;NA;NA
144;Smolt;1996;NA;1FW;NA;NA
145;Smolt;1996;NA;1FW;NA;NA
146;Smolt;1996;NA;2FW;NA;NA
147;Smolt;1996;NA;Other;NA;NA
148;Smolt;1996;M;1FW;1,428476591;NA
149;Smolt;1996;NA;Other;NA;NA
150;Smolt;1996;NA;1FW;NA;NA
151;Smolt;1996;NA;1FW;NA;NA
152;Smolt;1996;NA;1FW;NA;NA
153;Smolt;1996;NA;1FW;NA;NA
154;Smolt;1996;NA;1FW;NA;NA
155;Smolt;1996;NA;1FW;NA;NA
156;Smolt;1996;NA;Other;NA;NA
157;Smolt;1996;NA;Other;NA;NA
158;Smolt;1996;NA;Other;NA;NA
159;Smolt;1996;NA;1FW;NA;NA
160;Smolt;1996;NA;2FW;1,152284651;NA
161;Smolt;1996;F;1FW;1,11543114;NA
162;Smolt;1996;NA;Other;NA;NA
163;Smolt;1996;NA;1FW;NA;NA
164;Smolt;1996;NA;Other;NA;NA
165;Smolt;1996;NA;1FW;NA;NA
166;Smolt;1996;NA;1FW;NA;NA
167;Smolt;1996;NA;1FW;NA;NA
168;Smolt;1996;NA;1FW;NA;NA
169;Smolt;1996;NA;1FW;NA;NA
170;Smolt;1996;NA;Other;NA;NA
171;Smolt;1996;NA;Other;NA;NA
172;Smolt;1996;NA;1FW;NA;NA
173;Smolt;1996;NA;1FW;NA;NA
174;Smolt;1996;NA;1FW;NA;NA
175;Smolt;1996;NA;Other;NA;NA
176;Smolt;1996;NA;Other;NA;NA
177;Smolt;1996;NA;1FW;NA;NA
178;Smolt;1996;NA;1FW;NA;NA
179;Smolt;1996;NA;1FW;NA;NA
180;Smolt;1996;NA;1FW;NA;NA
181;Smolt;1996;NA;Other;NA;NA
182;Smolt;1996;NA;1FW;NA;NA
183;Smolt;1996;NA;1FW;NA;NA
184;Smolt;1996;NA;Other;NA;NA
185;Smolt;1996;NA;1FW;NA;NA
186;Smolt;1996;NA;Other;NA;NA
187;Smolt;1996;NA;1FW;NA;NA
188;Smolt;1996;NA;Other;NA;NA
189;Smolt;1996;NA;1FW;NA;NA
190;Smolt;1996;NA;Other;NA;NA
191;Smolt;1996;NA;1FW;NA;NA
192;Smolt;1996;NA;1FW;NA;NA
193;Smolt;1996;NA;Other;NA;NA
194;Smolt;1996;NA;Other;NA;NA
195;Smolt;1996;NA;Other;NA;NA
196;Smolt;1996;NA;1FW;NA;NA
197;Smolt;1996;NA;1FW;NA;NA
198;Smolt;1996;NA;Other;NA;NA
199;Smolt;1996;NA;Other;NA;NA
200;Smolt;1996;NA;Other;NA;NA
201;Smolt;1996;NA;Other;NA;NA
202;Smolt;1996;NA;Other;NA;NA
203;Smolt;1996;NA;1FW;NA;NA
204;Smolt;1996;NA;1FW;NA;NA
205;Smolt;1996;NA;Other;NA;NA
206;Smolt;1996;NA;Other;NA;NA
207;Smolt;1996;NA;Other;NA;NA
208;Smolt;1996;NA;Other;NA;NA
209;Smolt;1996;NA;Other;NA;NA
210;Smolt;1996;NA;Other;NA;NA
211;Smolt;1996;NA;1FW;NA;NA
212;Smolt;1996;NA;Other;NA;NA
213;Smolt;1996;NA;Other;NA;NA
214;Smolt;1996;NA;1FW;NA;NA
215;Smolt;1996;NA;Other;NA;NA
216;Smolt;1996;NA;Other;NA;NA
217;Smolt;1996;NA;1FW;NA;NA
218;Smolt;1996;NA;Other;NA;NA
219;Smolt;1996;NA;1FW;NA;NA
220;Smolt;1996;NA;1FW;NA;NA
221;Smolt;1996;NA;Other;NA;NA
222;Smolt;1996;NA;Other;NA;NA
223;Smolt;1996;NA;Other;NA;NA
224;Smolt;1996;NA;Other;NA;NA
225;Smolt;1996;NA;Other;NA;NA
226;Smolt;1996;NA;Other;NA;NA
227;Smolt;1996;NA;1FW;NA;NA
228;Smolt;1996;M;1FW;1,21316567;NA
229;Smolt;1996;NA;1FW;NA;NA
230;Smolt;1996;NA;Other;NA;NA
231;Smolt;1996;M;2FW;1,461144455;NA
232;Smolt;1996;NA;Other;NA;NA
233;Smolt;1996;NA;Other;NA;NA
234;Smolt;1996;NA;Other;NA;NA
235;Smolt;1996;NA;Other;NA;NA
236;Smolt;1996;NA;1FW;NA;NA
237;Smolt;1996;NA;Other;NA;NA
238;Smolt;1996;NA;Other;NA;NA
239;Smolt;1996;NA;Other;NA;NA
240;Smolt;1996;NA;1FW;NA;NA
241;Smolt;1996;NA;Other;NA;NA
242;Smolt;1996;NA;Other;NA;NA
243;Smolt;1996;NA;Other;NA;NA
244;Smolt;1996;NA;Other;NA;NA
245;Smolt;1996;NA;1FW;NA;NA
246;Smolt;1996;NA;Other;NA;NA
247;Smolt;1996;NA;Other;NA;NA
248;Smolt;1996;NA;1FW;NA;NA
249;Smolt;1996;NA;1FW;NA;NA
250;Smolt;1996;NA;Other;NA;NA
251;Smolt;1996;NA;1FW;NA;NA
252;Smolt;1996;NA;Other;NA;NA
253;Smolt;1996;NA;Other;NA;NA
254;Smolt;1996;NA;Other;NA;NA
255;Smolt;1996;NA;Other;NA;NA
256;Smolt;1996;F;1FW;0,761755188;NA
257;Smolt;1996;NA;Other;NA;NA
258;Smolt;1996;NA;Other;NA;NA
259;Smolt;1996;NA;Other;NA;NA
260;Smolt;1996;NA;Other;NA;NA
261;Smolt;1996;NA;Other;NA;NA
262;Smolt;1996;NA;Other;NA;NA
263;Smolt;1996;NA;Other;NA;NA
264;Smolt;1996;NA;Other;NA;NA
265;Smolt;1996;NA;2FW;NA;NA
266;Smolt;1996;NA;Other;NA;NA
267;Smolt;1996;NA;Other;NA;NA
268;Smolt;1996;NA;Other;NA;NA
269;Smolt;1996;NA;Other;NA;NA
270;Smolt;1996;NA;Other;NA;NA
271;Smolt;1996;NA;Other;NA;NA
272;Smolt;1996;NA;Other;NA;NA
273;Smolt;1996;NA;Other;NA;NA
274;Smolt;1996;NA;Other;NA;NA
275;Smolt;1996;NA;Other;NA;NA
276;Smolt;1996;NA;Other;NA;NA
277;Smolt;1996;NA;Other;NA;NA
278;Smolt;1996;NA;Other;NA;NA
279;Smolt;1996;NA;Other;NA;NA
280;Smolt;1996;NA;Other;NA;NA
281;Smolt;1996;NA;Other;NA;NA
282;Smolt;1996;NA;Other;NA;NA
283;Smolt;1996;NA;Other;NA;NA
284;Smolt;1996;NA;Other;NA;NA
285;Smolt;1996;NA;Other;NA;NA
286;Smolt;1996;NA;Other;NA;NA
287;Smolt;1996;NA;Other;NA;NA
288;Smolt;1996;NA;Other;NA;NA
289;Smolt;1996;NA;Other;NA;NA
290;Smolt;1996;NA;Other;NA;NA
291;Smolt;1996;NA;Other;NA;NA
292;Smolt;1996;NA;Other;NA;NA
293;Smolt;1996;NA;Other;NA;NA
294;Smolt;1996;NA;Other;NA;NA
295;Smolt;1996;NA;Other;NA;NA
296;Smolt;1996;NA;Other;NA;NA
297;Smolt;1996;NA;Other;NA;NA
298;Smolt;1996;NA;Other;NA;NA
299;Smolt;1996;NA;Other;NA;NA
300;Smolt;1996;NA;Other;NA;NA
301;Smolt;1996;NA;Other;NA;NA
302;Smolt;1996;NA;Other;NA;NA
303;Smolt;1996;NA;1FW;NA;NA
304;Smolt;1996;NA;1FW;NA;NA
305;Smolt;1996;NA;Other;NA;NA
306;Smolt;1996;NA;Other;NA;NA
307;Smolt;1996;NA;Other;NA;NA
308;Smolt;1996;M;1FW;1,195346836;NA
309;Smolt;1996;NA;1FW;NA;NA
310;Smolt;1996;NA;1FW;NA;NA
311;Smolt;1996;NA;Other;NA;NA
312;Smolt;1996;NA;Other;NA;NA
313;Smolt;1996;NA;Other;NA;NA
314;Smolt;1996;NA;Other;NA;NA
315;Smolt;1996;NA;Other;NA;NA
316;Smolt;1996;NA;Other;NA;NA
317;Smolt;1996;NA;Other;NA;NA
318;Smolt;1996;NA;Other;NA;NA
319;Smolt;1996;NA;Other;NA;NA
320;Smolt;1996;NA;Other;NA;NA
321;Smolt;1996;NA;1FW;NA;NA
322;Smolt;1996;NA;Other;NA;NA
323;Smolt;1996;NA;1FW;0,82412111;NA
324;Smolt;1996;NA;Other;NA;NA
