"";"cohort";"females";"males";"total"
"1";1996;16;17;33
"2";1997;18;22;40
"3";1998;80;50;130
"4";1999;32;14;46
"5";2000;18;21;39
"6";2001;116;72;188
"7";2002;19;10;29
"8";2003;26;26;52
"9";2004;32;40;72
"10";2005;30;20;50
"11";2006;29;19;48
"12";2007;26;19;45
"13";2008;30;21;51
"14";2009;40;21;61
"15";2010;36;17;53
"16";2011;27;18;45
"17";2012;56;48;104
"18";2013;17;15;32
"19";2014;40;27;67
"20";2015;32;26;58
"21";2016;27;21;48
"22";2017;17;27;44
"23";2018;62;55;117
"24";2019;31;72;103
