"";"cohort";"females";"males";"total"
"1";1996;29;29;58
"2";1997;27;50;77
"3";1998;25;19;44
"4";1999;31;19;50
"5";2000;15;20;35
"6";2001;26;33;59
"7";2002;32;24;56
"8";2003;67;74;141
"9";2004;45;63;108
"10";2005;72;91;163
"11";2006;45;48;93
"12";2007;42;34;76
"13";2008;27;33;60
"14";2009;35;38;73
"15";2010;23;54;77
"16";2011;23;28;51
"17";2012;36;28;64
"18";2013;41;48;89
"19";2014;65;63;128
"20";2015;33;41;74
"21";2016;40;51;91
"22";2017;20;19;39
"23";2018;4;7;11
"24";2019;10;4;14
