"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1[1, 1]";-1,04995203066125;0,330335267462325;0,001907191555922;0,00189562867594576;-1,65208701940338;-1,27547255818122;-1,06711224517533;-0,843183860526161;-0,353028782537444
"Alpha1[2, 1]";-2,39075125375906;0,218606283097995;0,00126212396393171;0,00126968428596105;-2,79433484934953;-2,54133923414191;-2,39995118447325;-2,24891636073978;-1,9368918241706
"Alpha1[3, 1]";-2,42746974699582;0,177862203177307;0,00102688790883078;0,00102171613497883;-2,77658589739981;-2,54709921875008;-2,4261775297646;-2,30769698950785;-2,07924168166807
"Alpha1[4, 1]";-1,69423763877457;0,223796918800323;0,00129209211313175;0,00129176348084518;-2,12123002657947;-1,84695060847397;-1,69877943523716;-1,54730138547969;-1,24349993061457
"Alpha1[5, 1]";-1,80679744537646;0,282641368817482;0,00163183070370897;0,00163183831191698;-2,34373670288748;-1,99816148804697;-1,80999097666819;-1,6215747940294;-1,23423391059307
"Alpha1[6, 1]";-2,81772342605695;0,16767125506302;0,00096805044245997;0,000957473141017297;-3,14959295010427;-2,92941575449252;-2,81600488633178;-2,7033427624688;-2,49062846693182
"Alpha1[7, 1]";-0,797330288958016;0,246599112985434;0,00142374064264063;0,00143315566047032;-1,24461870970194;-0,966504125534589;-0,810073733165436;-0,642856525087095;-0,276339699651061
"Alpha1[8, 1]";-1,71713610179898;0,186607190044872;0,00107737711405126;0,0010699651499156;-2,06188514415802;-1,84535828267629;-1,72456658393264;-1,59553127470507;-1,33335619272194
"Alpha1[9, 1]";-2,09444910319384;0,180251736172761;0,00104068388401241;0,00106072552687024;-2,42853364715349;-2,21855277354017;-2,1018533320131;-1,97481830196325;-1,72389760741282
"Alpha1[10, 1]";-2,25085825576304;0,162332759961282;0,000937228626619411;0,000940515947089005;-2,55685082253008;-2,36251543174202;-2,25523193579739;-2,14376209840532;-1,91943005716434
"Alpha1[11, 1]";-2,25539206058755;0,185255364682652;0,00106957234668352;0,00107450625096807;-2,6089081333863;-2,38160637804378;-2,25855133574729;-2,13290091012627;-1,88291928679415
"Alpha1[12, 1]";-2,53975509581891;0,175181392276129;0,00101141023987637;0,00103759205398979;-2,87116253034484;-2,66001725958135;-2,54475031235448;-2,42529320119247;-2,18219959581623
"Alpha1[13, 1]";-3,19104415257839;0,186698229066683;0,00107790272808876;0,00108606057234271;-3,55076611435643;-3,3179240364438;-3,19330146670218;-3,06666821413066;-2,81727125538934
"Alpha1[14, 1]";-2,33465603164971;0,148448266200397;0,000857066464515326;0,000856016256394382;-2,61878642194695;-2,43507381071131;-2,33714117201937;-2,23705484537647;-2,03477033206563
"Alpha1[15, 1]";-2,78102485180291;0,169391512655423;0,000977982354300462;0,000978037746945479;-3,10893063492614;-2,89527379768682;-2,78254856511454;-2,66761907965322;-2,44414959242981
"Alpha1[16, 1]";-2,65298688442554;0,207354091911504;0,00119715940782677;0,00120464597141481;-3,05013642646713;-2,79395022610216;-2,65674977474993;-2,51575258625862;-2,23836459689811
"Alpha1[17, 1]";-1,72431160451887;0,190112923123539;0,00109761747341802;0,00109472543110251;-2,08572888136106;-1,85343480230397;-1,72694438418269;-1,59952689926314;-1,3411835426302
"Alpha1[18, 1]";-1,66907474387097;0,259916249066351;0,00150062716365215;0,00145503115163195;-2,15202497834503;-1,84651895125898;-1,67919031697403;-1,50222357162347;-1,12803506568453
"Alpha1[19, 1]";-2,41028396596052;0,157167341237061;0,00090740606771035;0,000907437507446436;-2,70989022595414;-2,51775042397319;-2,41282113009256;-2,30565568541032;-2,0956465638934
"Alpha1[20, 1]";-1,6426966918638;0,199574915346842;0,00115224631098996;0,00114000910010379;-2,01775405532253;-1,77991455260348;-1,64917326840702;-1,51316845295647;-1,23723824966046
"Alpha1[21, 1]";-1,69648317859958;0,190400390605417;0,00109927716769847;0,00110477516883811;-2,05199544937051;-1,82703033736812;-1,70266360094329;-1,57180177330867;-1,30624817383001
"Alpha1[22, 1]";-2,24604715122786;0,256943913297545;0,00148346637508973;0,00148616403615888;-2,73616940317784;-2,42224452065044;-2,25167409030695;-2,07765256813717;-1,72729427437299
"Alpha1[23, 1]";-2,63652112541955;0,307535710202028;0,00177555825070564;0,00176115736912588;-3,28284210361306;-2,83341923276074;-2,62193248764569;-2,42738239744009;-2,06854065630049
"Alpha1[24, 1]";-1,3445600999171;0,311220953861348;0,00179683501489302;0,00177190288863778;-1,95598927226567;-1,55017763335955;-1,34525208316037;-1,13812111901789;-0,735142075563861
"Alpha1[1, 2]";-1,39636983736016;0,29188554858864;0,00168520200050213;0,0017085821814413;-1,93418528593744;-1,59793773320355;-1,40971419299023;-1,20996730980437;-0,791918343786931
"Alpha1[2, 2]";-2,4452732094322;0,185498903599757;0,001070978419277;0,0010709843868388;-2,79452340463878;-2,57262939374057;-2,44982542487057;-2,32418289538188;-2,06460153884031
"Alpha1[3, 2]";-2,4435257001507;0,222488968456718;0,00128454065830208;0,00128915944824942;-2,88861990793205;-2,59126868078075;-2,43911068371134;-2,29266936957208;-2,00966288565175
"Alpha1[4, 2]";-1,7279937348027;0,299537091995801;0,00172937820696053;0,00173781339158145;-2,28889797779141;-1,93189496982228;-1,7364617717353;-1,53329481267347;-1,11715921211824
"Alpha1[5, 2]";-1,85539415032111;0,237594846365314;0,00137175448507082;0,00139145477822827;-2,31480816844824;-2,01491795292949;-1,85998662284006;-1,6992869890084;-1,37991230333347
"Alpha1[6, 2]";-2,26497870459303;0,182176634238923;0,00105179728817902;0,0010520223273919;-2,62526284385372;-2,38705639914142;-2,26403361385818;-2,14111431633694;-1,90745709043334
"Alpha1[7, 2]";-1,35171369926293;0,309814346365626;0,00178871396273002;0,00178869954612207;-1,91006699450072;-1,56736725825381;-1,36498249298074;-1,15401889357186;-0,69558819426072
"Alpha1[8, 2]";-1,87551212621185;0,18252866217124;0,00105382972239388;0,00104871917267205;-2,21935259395406;-2,00030967957018;-1,88022370671938;-1,75759403781032;-1,50090840446437
"Alpha1[9, 2]";-2,42249089884901;0,155919215150945;0,000900200008392335;0,000892236688202642;-2,71916695365557;-2,52768297203165;-2,42535616348455;-2,3198109450106;-2,1095346652245
"Alpha1[10, 2]";-1,89859284519478;0,198120131591247;0,00114384711306091;0,00114379880915342;-2,26429842008119;-2,0355868930481;-1,90675356952548;-1,77205624420188;-1,48849368052871
"Alpha1[11, 2]";-1,97807318809288;0,216531714128179;0,00125014643439995;0,00124945407322767;-2,3861601139692;-2,12583605663862;-1,98542812308786;-1,83699739524924;-1,53525261634622
"Alpha1[12, 2]";-2,58093893671413;0,223029709535034;0,00128766262837336;0,00128815969236384;-3,00950678304801;-2,73236249410436;-2,58286214298167;-2,4324475746138;-2,13168707094468
"Alpha1[13, 2]";-2,91441569497321;0,239639151722582;0,00138355728755406;0,00138912470373825;-3,37043862484333;-3,07757850268206;-2,91834827683894;-2,75435058210393;-2,43335027197022
"Alpha1[14, 2]";-2,03122754271986;0,21277506698223;0,00122845742199031;0,00122563317055892;-2,43168082641538;-2,17407592976735;-2,03835513486656;-1,89329634517999;-1,59149301231897
"Alpha1[15, 2]";-2,00829456806047;0,219697376366186;0,00126842339385272;0,00124654084722546;-2,4112814900718;-2,15900378035429;-2,01716416732523;-1,86753013171229;-1,55082174067115
"Alpha1[16, 2]";-2,33833566625846;0,241725378750857;0,00139560212491772;0,00139054688856699;-2,80301944739744;-2,50173819518632;-2,34207806874058;-2,18013812841074;-1,84758833588852
"Alpha1[17, 2]";-2,0859520882281;0,206727881930617;0,00119354398281643;0,00119357009406701;-2,48958634266138;-2,22497017786929;-2,08635433666698;-1,94775371862926;-1,67580966601517
"Alpha1[18, 2]";-1,87333020045156;0,249571700387734;0,00144090288400971;0,00143950935732806;-2,338235932379;-2,04303149805451;-1,88129030765326;-1,71175124421031;-1,3567907269109
"Alpha1[19, 2]";-2,24643983697679;0,193890617782454;0,00111942800370042;0,00110760945883174;-2,61500349082905;-2,37815070382723;-2,25206497942372;-2,11911535298287;-1,85256291692225
"Alpha1[20, 2]";-1,70572117362664;0,214218867459534;0,00123679320793259;0,00124023308122071;-2,11233268198813;-1,85222397631794;-1,71103215790469;-1,56547028771827;-1,2701060994853
"Alpha1[21, 2]";-1,66324714487876;0,204431229654383;0,00118028425471724;0,00117344087761939;-2,03898655264449;-1,80523900272704;-1,67071011535278;-1,53136714739175;-1,241157235933
"Alpha1[22, 2]";-2,6157750836566;0,213645770199155;0,00123348442935707;0,00123574617209502;-3,03332185528084;-2,75945483368825;-2,61608504247273;-2,47205172408051;-2,19406051761491
"Alpha1[23, 2]";-2,21276973070688;0,241835346749235;0,00139623702545237;0,00140134440787477;-2,70348947706932;-2,37104845186752;-2,20718951434405;-2,05068776552034;-1,75161289361838
"Alpha1[24, 2]";-2,31873096804;0,261349136539025;0,00150889994333283;0,00150896395454567;-2,88156251509617;-2,48054953303543;-2,30106595420043;-2,13687524794468;-1,85486148705289
"Alpha2[1, 1]";1,34185767334939;0,273826063467698;0,00158093551454211;0,00158304015036893;0,813027313465541;1,1575320214103;1,33884749684922;1,52287164789675;1,89092245350676
"Alpha2[2, 1]";0,297860091083515;0,22577680282318;0,00130352297886736;0,0013069013756898;-0,15820906013231;0,148986059568329;0,300769368065159;0,451739696264972;0,728759228173592
"Alpha2[3, 1]";0,653153271618655;0,246520824939084;0,00142328864639429;0,00140669800644747;0,160502710826384;0,489721429157168;0,654393871907539;0,816343334664323;1,13613956605861
"Alpha2[4, 1]";0,965927144153242;0,26861935966928;0,00155087459614604;0,00154517333220701;0,448667261351845;0,783673090513933;0,962296639312836;1,14391715156205;1,50374779394037
"Alpha2[5, 1]";1,22049623646474;0,303454757958774;0,00175199686194371;0,00174021823369662;0,636970864165597;1,01551462721772;1,21583252706539;1,4222382401444;1,8305215676267
"Alpha2[6, 1]";1,11981633285061;0,224720342846611;0,00129742350434876;0,00129226518144777;0,684263863425768;0,966647816442109;1,11904695791976;1,26864304434628;1,56514897290747
"Alpha2[7, 1]";0,355626599726436;0,199316447029297;0,00115075404346285;0,00115255659471221;-0,0447655196647012;0,223867395122021;0,357048287689517;0,490996786803118;0,743631972514048
"Alpha2[8, 1]";0,932165850919631;0,160172037616658;0,000924753690346283;0,000910406286039845;0,61583750112735;0,82423951978702;0,934284802317294;1,03918045526532;1,24636574799863
