"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1";-2,11943458064422;0,0277038430809657;0,000159948212603827;0,000159093692472946;-2,17269343136363;-2,13836874796505;-2,1196440432585;-2,10100617924882;-2,06430784037175
"Alpha2[1, 1]";1,34232748720189;0,267168394564907;0,00154249744521009;0,00155608191517923;0,826579731372947;1,16380091878945;1,33658006400136;1,51918689523934;1,8798485307983
"Alpha2[2, 1]";0,18166148140474;0,233314119819869;0,00134703969883742;0,00135378913633832;-0,289397046886296;0,0254232078282533;0,18690086608546;0,341601391523522;0,628576226809056
"Alpha2[3, 1]";0,594713379991998;0,259990617865396;0,00150105653211364;0,00149422570350939;0,0812343634457783;0,424349376858873;0,596750479034344;0,767784258328963;1,10148146204327
"Alpha2[4, 1]";0,911726095345345;0,267462804984186;0,00154419722455832;0,00154183059487383;0,398196896700111;0,731169709814785;0,908694583200201;1,08699716656619;1,45211783659101
"Alpha2[5, 1]";1,25292085113647;0,292842534219218;0,00169072715961637;0,00170432725694895;0,693766311864117;1,05359163405092;1,24914545302411;1,44593961835606;1,84451969712372
"Alpha2[6, 1]";1,26145509182174;0,21377414743494;0,00123422561567346;0,00125627795045679;0,845879951759069;1,1182688566986;1,26060066957996;1,405012953413;1,68119623493207
"Alpha2[7, 1]";0,261167348715215;0,194582830153168;0,00112342449368611;0,00112344707805618;-0,124836797388829;0,132175111881815;0,262463272977044;0,39339584579245;0,638236068976098
"Alpha2[8, 1]";0,927074986161051;0,158606010954968;0,000915712231199435;0,000907932407357709;0,617688669426942;0,820755378890678;0,92688804034994;1,03330701550265;1,23811063325096
"Alpha2[9, 1]";0,0904895784967547;0,210922400131854;0,00121776104494248;0,00122384090174448;-0,327408792999926;-0,0488031193692918;0,0913140484198273;0,232607155920206;0,495448752608305
"Alpha2[10, 1]";0,912465035883709;0,183689020031489;0,00106052905162359;0,00105659114334658;0,550862293857298;0,790261989672138;0,913088307503997;1,03630319006158;1,26996488656201
"Alpha2[11, 1]";0,953074086219274;0,235477001146959;0,00135952710000163;0,00138632224866023;0,506914279098244;0,794601304979046;0,947029423432869;1,10531966013165;1,43301929505982
"Alpha2[12, 1]";0,444137049437917;0,222397023375825;0,00128400981313004;0,00130415415519399;0,00694693862190131;0,296071132598858;0,444119325573823;0,594392807610595;0,872980652590451
"Alpha2[13, 1]";0,675277209885586;0,253673086519415;0,00146458224788147;0,00149058730480778;0,171111965969369;0,506925239346647;0,676760853197366;0,845874461709896;1,16714146547799
"Alpha2[14, 1]";0,420555120603376;0,166743450277996;0,000962693759036079;0,000954013234546887;0,0890347088071589;0,310433571180054;0,422351339677965;0,533531708039952;0,748091383128661
"Alpha2[15, 1]";0,185736584259145;0,231702605654481;0,00133773561746552;0,00133971231385998;-0,273929247462707;0,0306353016160196;0,187511876684779;0,344097326754818;0,630367409111855
"Alpha2[16, 1]";0,778049638006941;0,244231153915535;0,00141006922457627;0,00141279762616297;0,295941852133666;0,614808952074604;0,778814464345863;0,941505926295826;1,25494857493562
"Alpha2[17, 1]";1,06199279326317;0,184580559001091;0,00106567635426451;0,0010675105109879;0,70004322252651;0,938897987795535;1,06065579558801;1,18534730156941;1,42808501343864
"Alpha2[18, 1]";0,889247844664779;0,183082186784388;0,00105702549823792;0,0010586653717356;0,529308333292777;0,767606238004837;0,889486159214488;1,0114859279057;1,24917801293521
