"Parameter";"Rhat";"zchain1";"zchain2";"zchain3";"zchain4";"zchain5";"zchain6";"Effective"
"Alpha1";0,999932304009142;-1,52305250647811;0,710088471855007;1,31245736315445;0,50420432183688;0,0751664136367114;0,228399544981216;30479,711125245
"Alpha2[1, 1]";1,00013658881905;0,052015985414478;0,137304019918086;-1,45979205876283;0,459013247285258;1,30138468824587;-0,0133614956507255;18903,4445134379
"Alpha2[1, 2]";1,00015529628957;-2,17321579444108;-0,221895778080849;0,312438381512019;-1,75594133874176;1,00919023834599;-1,19080522189706;6929,35018307476
"Alpha2[2, 1]";1,00001603094465;-0,387958179044176;0,68098611111725;-0,156932844713335;0,0872816219358;1,48403132938216;-0,343433224896352;7173,30366665047
"Alpha2[2, 2]";1,00008721646752;1,61291743225505;-0,300137965606363;0,333560197047041;1,4071897166129;0,171087196889008;0,123698297281131;30511,42065457
"Alpha2[3, 1]";1,0000710939054;-1,46139178466729;1,46879303427345;0,243740195275941;0,484450811665322;2,36184122959171;-1,1152144136353;30262,6670336726
"Alpha2[3, 2]";1,00023140826035;-0,577795066450964;1,42422621307395;-0,947562622908231;-0,962182982810805;-1,00933568835569;-1,03737196466384;30348,18456038
"Alpha2[4, 1]";0,999977361571244;0,299189866269298;0,904637432555408;0,898868711851134;-0,356362933600415;-0,56811502062685;0,617785434791672;18347,233442325
"Alpha2[4, 2]";1,00004954274139;0,486424812087254;-1,40087588402869;-0,979034438999768;1,30105223228633;0,953625878689374;0,198696408838572;30082,7972795129
"Alpha2[5, 1]";1,0000816324912;1,22343320204743;1,5091630522118;0,983595895550722;0,459195429025523;-1,1613453488623;-0,450455128924818;11944,6242151637
"Alpha2[5, 2]";1,00007497418396;-0,963240878646529;0,511869962161823;0,144226987048857;1,89205896204748;-0,211680656773088;0,229724301269603;18898,8452179405
"Alpha2[6, 1]";0,999946808010975;0,993801659234071;-0,965464920497424;-2,5485417802173;-0,54285437720916;-1,26726755991609;-1,13791021820735;17196,533515961
"Alpha2[6, 2]";1,00002196474107;-0,499949502349577;0,882786061689752;0,542394973217924;0,75684949572479;0,692496947718791;0,271644766650909;3521,88828602592
"Alpha2[7, 1]";1,00002647926915;1,65630246127548;-1,28396983752067;0,618381737433631;0,657179145047497;-1,42785368791462;-1,3233799792628;23471,4598029046
"Alpha2[7, 2]";1,00023381780417;0,223164608380905;0,827205540713471;0,677916430555036;-0,223698865857031;-0,819034996597142;2,30923409127629;3705,88086967728
"Alpha2[8, 1]";0,999954553581732;-1,48743917276916;0,634517040404759;0,545883811011908;-0,60278077031054;-0,852028738024266;0,179015913562196;30333,8159345999
"Alpha2[8, 2]";1,00005943973213;-2,84232466157283;-1,65589738476528;0,040777937313499;-1,07490606199421;-0,215469582430924;-0,478379185225211;24702,0645892629
"Alpha2[9, 1]";1,00003270031875;0,752356684863093;-1,28420634622707;0,662867727317212;-0,373294505245592;0,268987444377916;1,89009030200168;29996,4248231583
"Alpha2[9, 2]";1,00013710181447;1,01573559213891;0,631930135401969;-1,16129024067155;0,0420691558418585;2,34799240977769;1,7463481493353;18652,8106524732
"Alpha2[10, 1]";0,999951891113159;-0,241870387557085;0,730957582709692;0,412290861124269;-0,174826382162152;0,250365635086001;-0,125004495299651;30749,9283019212
"Alpha2[10, 2]";1,0001029759097;2,01139925083487;0,0814048786944116;2,10328927617491;0,889875238826834;0,56380228503789;-0,00413453572931916;30370,3664810917
"Alpha2[11, 1]";1,0001560811313;0,412710745920881;0,946643354517595;0,233265470734124;-0,325413735115448;-0,466258843763556;-0,263618719348321;25601,3016727381
"Alpha2[11, 2]";1,00015682034594;0,0545722143530311;1,24246205399194;-0,453734999408662;-1,26937893433461;0,62140553904784;0,0504862579836565;29141,0833925874
"Alpha2[12, 1]";0,999965884627967;-1,32513881214318;0,57583095764433;1,07923110350753;-0,539133077283144;0,184276973906851;0,276622196273671;13775,1759825318
"Alpha2[12, 2]";1,00008878312195;1,36656238197627;-0,861533576277016;-0,108434125294847;0,313490591394609;0,663896145518488;0,37013824788909;6543,91439697282
"Alpha2[13, 1]";1,00009893245505;-1,34212892430768;0,990420103446668;-0,45092973899322;-0,14969897145045;0,300066861971521;-0,0314518629294854;15702,5489108072
"Alpha2[13, 2]";0,999950109787302;-0,290481742114018;0,612173703653343;0,191752460136963;-0,353174545752787;0,280922147171126;0,135263646186113;30165,1390485525
"Alpha2[14, 1]";1,00001683959641;0,883791527026013;0,673421783816633;1,17258915489433;0,801780732897674;0,358982870887715;0,146366010469704;30683,4043554785
"Alpha2[14, 2]";1,00004357151382;0,610768137386403;-0,185739431444866;1,18480218792932;-0,270047576277535;1,14233123698823;-0,0829921129001378;30298,4421671017
"Alpha2[15, 1]";1,0001905862128;0,609417845372901;0,133389107556642;-1,82459643790028;-0,190523719694274;1,16033302400826;0,68154577983237;4872,04587099482
"Alpha2[15, 2]";1,00007372097334;0,586298570367952;0,958230215078046;-1,05056167494427;2,17230759007555;-1,10442232030866;-1,29591943979891;20975,8194604199
"Alpha2[16, 1]";1,00008093081843;-0,381965011655707;0,552746146350536;0,1449715511954;0,49102383055597;1,34294457927438;-1,08292322204936;10931,1171019065
"Alpha2[16, 2]";1,00003076946242;-0,0942802160776273;0,127917604910669;-0,166882166093435;0,401457345229345;-2,35081635727586;2,52270616176078;30483,0543532543
"Alpha2[17, 1]";1,00007394378194;0,362701855565916;-0,694610166964075;0,506886362346978;0,508601742608025;-0,0514626095298948;-0,269599275753607;29899,2309941264
"Alpha2[17, 2]";1,00004699524802;-0,0337729021557241;0,602039045164632;0,691457985808686;-0,185235665072237;1,17281781854241;0,273390937452975;25046,2305730671
"Alpha2[18, 1]";1,0000382348039;0,456755490308148;-1,5893229508258;-0,418473747342686;-0,620540937616814;-0,831318770513017;-0,139251990507306;30478,401430364
"Alpha2[18, 2]";1,00012963258709;-0,0918961438830077;0,504481941738858;0,680266291075743;0,00173714939492112;-1,2013445954555;-1,55284761800486;13823,4718166213
"Alpha2[19, 1]";0,999997814976042;0,252507006995809;-0,907843342836544;0,0297826149740054;1,7389901875907;1,2798732770101;-1,93740981331772;30160,4261178032
"Alpha2[19, 2]";1,00009173570744;0,184586016000707;1,47512183102689;-1,52273122685602;0,562493979713582;-0,246748287126341;-2,14687215690685;30526,9301740399
"Alpha2[20, 1]";0,99996239969905;-1,06696284017581;0,425014086803178;-0,10332298316435;-0,944472966882449;0,894758306168014;0,371738458554946;29004,8031784656
"Alpha2[20, 2]";0,999979885219586;0,236832893131839;0,639990945959843;-1,04037833985166;0,890800820222211;-0,704114219310594;0,403337765070183;14772,6209821675
"Alpha2[21, 1]";0,999963649867684;1,58567730078031;2,45139640642568;0,60608428777772;-1,07507076265184;-0,697392357101723;-1,09989426150211;30152,4648088028
"Alpha2[21, 2]";1,00020412536462;-0,368356349785485;-0,892480560245564;-1,1024457003112;-0,37244295591137;-2,21340447321145;-1,98534450803974;18865,6523635846
"Alpha2[22, 1]";0,999980380454657;0,659337540366146;1,78875741247537;2,08890103857436;1,06478258093821;-1,23211694426617;0,288992170287004;30003,1238626544
"Alpha2[22, 2]";1,00002321105391;-0,162205618945375;-1,96839722205421;0,497761519369201;0,984990223513007;-0,270194567692684;-1,53161204827181;30584,1635576722
"Alpha2[23, 1]";1,00005032868151;0,0592553128919105;-1,25112875177517;-2,56165624309787;-0,499027588905506;0,165469692944134;1,83281956040278;30784,2915859874
"Alpha2[23, 2]";1,00004243010192;-1,65871717815484;-1,44204494999971;-0,504825540023945;-0,985574974620742;0,0453085363136658;-0,139833349716541;30116,3703433634
"Alpha2[24, 1]";1,00010644210144;-0,28523291766792;1,27935839377171;-0,384189554496551;-1,06130767753753;1,52549042280153;-1,13534750340337;30239,6039337935
"Alpha2[24, 2]";1,00014285465826;1,01897368496521;-2,52135521600622;-0,12429354460736;1,11578920349172;0,476498708457792;1,39257654101461;29373,2329840428
"Beta1";1,00004913614109;-0,0249177556927895;-0,666354934351503;0,13707115341709;1,57490567109659;-2,35964758880061;-0,60594644898406;19907,4405080555
"Beta2";1,00005194411778;0,924973804810136;0,993048793502964;-1,18816834171281;2,17621835624117;0,73185103080008;-0,51547726867;30852,7699750305
"Gamma1[1, 1]";1,00020609509098;1,37039749899489;1,17536380244613;0,481832499452341;-0,609113209025548;-0,653338017108261;1,01171144665637;14989,1885330951
"Gamma1[1, 2]";1,00020609509098;-1,37039749899485;-1,17536380244611;-0,481832499452341;0,609113209025548;0,653338017108214;-1,01171144665634;14989,1885330951
"Gamma1[2, 1]";1,00015203759861;0,311093295838656;-0,0434057135168337;-0,578088026878027;-0,768647183610396;0,952090088789184;-0,186534826594751;12149,5868525956
"Gamma1[2, 2]";1,00015203759861;-0,311093295838683;0,0434057135167818;0,578088026878053;0,768647183610396;-0,952090088789184;0,186534826594725;12149,5868525953
"Gamma1[3, 1]";0,999980476570767;-1,04031838454847;-0,351034282377493;-0,439127068658682;-0,457679267354185;1,07413094578158;2,10140483761049;15263,1019084996
"Gamma1[3, 2]";0,999980476570767;1,04031838454847;0,351034282377525;0,439127068658713;0,457679267354221;-1,07413094578161;-2,10140483761052;15263,1019084996
"Gamma1[4, 1]";1,00013198723749;0,153151171944726;-0,220489898814934;-0,0609990699525239;-0,231019148361642;-1,34780658884519;-0,0083371838346623;30659,8786182339
"Gamma1[4, 2]";1,00013198723749;-0,153151171944684;0,220489898814908;0,0609990699525239;0,231019148361642;1,34780658884519;0,0083371838346623;30659,8786182339
"Gamma1[5, 1]";1,00001310229391;-0,831942505330462;1,67602387588711;0,332597372179899;1,18990212917408;-1,49528805773112;-1,80123076457393;30217,9255446837
"Gamma1[5, 2]";1,00001310229391;0,831942505330442;-1,67602387588715;-0,332597372179878;-1,18990212917406;1,49528805773112;1,80123076457393;30217,9255446837
"Gamma1[6, 1]";1,00001979602957;2,35409092540398;-1,25513389857232;-0,170458426293308;0,23245119795328;-0,718236678993585;0,614740243272595;30261,7995289654
"Gamma1[6, 2]";1,00001979602957;-2,35409092540402;1,25513389857236;0,170458426293273;-0,23245119795328;0,718236678993585;-0,614740243272633;30261,7995289654
"Gamma1[7, 1]";1,00004869685935;1,14288227522661;0,941567667234972;0,568814723423364;-0,322583064412202;0,101979495369741;0,677769673615691;18933,6192416491
"Gamma1[7, 2]";1,00004869685935;-1,14288227522659;-0,941567667234945;-0,56881472342339;0,322583064412177;-0,101979495369713;-0,677769673615664;18933,6192416491
"Gamma1[8, 1]";1,00004816096163;-1,75323458985984;0,920772206796051;0,495865123607557;2,09580211530052;1,39490908517508;-1,29363496725503;6988,93231514524
